Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
AUG-20230104-BEA-1,2023-01-04,CUST-87505,Female,32,Beauty,2,155,310
AUG-20230104-BEA-0,2023-01-04,CUST-92018,Female,30,Beauty,3,137,411
AUG-20230104-ELE-1,2023-01-04,CUST-83744,Male,25,Electronics,1,1427,1427
AUG-20230105-CLO-0,2023-01-05,CUST-26896,Male,28,Clothing,1,174,174
AUG-20230105-CLO-2,2023-01-05,CUST-69638,Female,30,Clothing,3,118,354
AUG-20230105-CLO-1,2023-01-05,CUST-55543,Male,24,Clothing,2,169,338
AUG-20230105-ELE-3,2023-01-05,CUST-35945,Male,34,Electronics,2,1025,2050
AUG-20230105-ELE-2,2023-01-05,CUST-93613,Male,26,Electronics,2,481,962
AUG-20230105-ELE-1,2023-01-05,CUST-66179,Male,34,Electronics,2,946,1892
AUG-20230105-ELE-0,2023-01-05,CUST-58747,Male,18,Electronics,2,1258,2516
AUG-20230105-BEA-2,2023-01-05,CUST-80313,Female,23,Beauty,2,113,226
AUG-20230105-BEA-1,2023-01-05,CUST-60300,Female,36,Beauty,3,178,534
AUG-20230105-BEA-0,2023-01-05,CUST-23403,Male,24,Beauty,4,142,568
AUG-20230106-CLO-2,2023-01-06,CUST-46208,Male,24,Clothing,2,278,556
AUG-20230106-CLO-1,2023-01-06,CUST-27955,Male,30,Clothing,3,229,687
AUG-20230106-CLO-0,2023-01-06,CUST-54425,Female,34,Clothing,1,335,335
AUG-20230106-ELE-3,2023-01-06,CUST-30358,Female,28,Electronics,2,1244,2488
AUG-20230106-ELE-2,2023-01-06,CUST-98668,Male,32,Electronics,1,1057,1057
AUG-20230106-ELE-1,2023-01-06,CUST-48494,Female,30,Electronics,1,471,471
AUG-20230106-CLO-3,2023-01-06,CUST-65069,Female,35,Clothing,3,261,783
AUG-20230106-BEA-3,2023-01-06,CUST-67679,Male,27,Beauty,5,33,165
AUG-20230106-BEA-2,2023-01-06,CUST-36646,Female,23,Beauty,4,61,244
AUG-20230106-BEA-1,2023-01-06,CUST-45247,Male,25,Beauty,4,168,672
AUG-20230106-BEA-0,2023-01-06,CUST-71389,Male,38,Beauty,3,111,333
AUG-20230106-ELE-0,2023-01-06,CUST-48304,Male,33,Electronics,1,1480,1480
AUG-20230106-BEA-4,2023-01-06,CUST-76387,Female,30,Beauty,1,158,158
AUG-20230107-CLO-0,2023-01-07,CUST-47080,Male,35,Clothing,2,215,430
AUG-20230107-CLO-1,2023-01-07,CUST-82124,Female,30,Clothing,2,316,632
AUG-20230107-ELE-3,2023-01-07,CUST-49081,Female,26,Electronics,1,1526,1526
AUG-20230107-CLO-2,2023-01-07,CUST-96188,Male,22,Clothing,3,94,282
AUG-20230107-ELE-2,2023-01-07,CUST-58136,Male,31,Electronics,1,951,951
AUG-20230107-ELE-4,2023-01-07,CUST-98092,Male,33,Electronics,1,880,880
AUG-20230107-ELE-0,2023-01-07,CUST-11062,Male,36,Electronics,1,1508,1508
AUG-20230107-BEA-2,2023-01-07,CUST-99112,Female,27,Beauty,5,104,520
AUG-20230107-BEA-1,2023-01-07,CUST-69163,Female,26,Beauty,3,112,336
AUG-20230107-BEA-0,2023-01-07,CUST-26779,Female,18,Beauty,5,51,255
AUG-20230107-ELE-1,2023-01-07,CUST-48102,Male,27,Electronics,1,896,896
AUG-20230108-CLO-3,2023-01-08,CUST-11015,Female,33,Clothing,2,315,630
AUG-20230108-CLO-1,2023-01-08,CUST-37532,Male,25,Clothing,1,286,286
AUG-20230108-CLO-0,2023-01-08,CUST-57605,Male,27,Clothing,1,95,95
AUG-20230108-ELE-2,2023-01-08,CUST-71529,Female,25,Electronics,1,1303,1303
AUG-20230108-CLO-2,2023-01-08,CUST-80340,Female,19,Clothing,1,140,140
AUG-20230108-ELE-0,2023-01-08,CUST-48413,Male,30,Electronics,1,267,267
AUG-20230108-BEA-2,2023-01-08,CUST-32700,Male,32,Beauty,2,81,162
AUG-20230108-BEA-1,2023-01-08,CUST-92848,Female,31,Beauty,4,149,596
AUG-20230108-BEA-0,2023-01-08,CUST-23116,Female,31,Beauty,2,186,372
AUG-20230108-ELE-1,2023-01-08,CUST-34504,Male,33,Electronics,1,1639,1639
AUG-20230109-CLO-3,2023-01-09,CUST-71886,Female,29,Clothing,2,336,672
AUG-20230109-CLO-2,2023-01-09,CUST-91317,Female,34,Clothing,2,121,242
AUG-20230109-CLO-1,2023-01-09,CUST-11252,Female,27,Clothing,3,350,1050
AUG-20230109-CLO-0,2023-01-09,CUST-83963,Female,36,Clothing,2,323,646
AUG-20230109-ELE-2,2023-01-09,CUST-71877,Female,21,Electronics,2,352,704
AUG-20230109-ELE-0,2023-01-09,CUST-48765,Male,38,Electronics,1,1346,1346
AUG-20230109-BEA-2,2023-01-09,CUST-90642,Female,33,Beauty,4,125,500
AUG-20230109-BEA-1,2023-01-09,CUST-18702,Female,28,Beauty,1,123,123
AUG-20230109-BEA-0,2023-01-09,CUST-14158,Female,26,Beauty,2,40,80
AUG-20230109-ELE-1,2023-01-09,CUST-80080,Male,37,Electronics,1,899,899
AUG-20230110-ELE-4,2023-01-10,CUST-20478,Male,24,Electronics,1,247,247
AUG-20230110-CLO-0,2023-01-10,CUST-18717,Male,30,Clothing,3,180,540
AUG-20230110-ELE-3,2023-01-10,CUST-91818,Male,31,Electronics,2,1258,2516
AUG-20230110-CLO-3,2023-01-10,CUST-20267,Female,31,Clothing,3,237,711
AUG-20230110-CLO-1,2023-01-10,CUST-26748,Female,29,Clothing,3,126,378
AUG-20230110-ELE-2,2023-01-10,CUST-33061,Female,29,Electronics,2,795,1590
AUG-20230110-CLO-2,2023-01-10,CUST-98869,Male,34,Clothing,3,279,837
AUG-20230110-ELE-0,2023-01-10,CUST-51240,Male,36,Electronics,2,1078,2156
AUG-20230110-BEA-3,2023-01-10,CUST-90719,Female,20,Beauty,3,136,408
AUG-20230110-BEA-2,2023-01-10,CUST-15569,Male,30,Beauty,5,63,315
AUG-20230110-BEA-1,2023-01-10,CUST-29963,Female,31,Beauty,2,173,346
AUG-20230110-ELE-1,2023-01-10,CUST-33954,Female,46,Electronics,2,255,510
AUG-20230110-BEA-0,2023-01-10,CUST-80390,Female,28,Beauty,1,107,107
AUG-20230111-CLO-2,2023-01-11,CUST-77584,Male,28,Clothing,1,67,67
AUG-20230111-CLO-1,2023-01-11,CUST-74323,Female,36,Clothing,1,385,385
AUG-20230111-CLO-0,2023-01-11,CUST-10846,Female,23,Clothing,2,113,226
AUG-20230111-ELE-2,2023-01-11,CUST-10117,Female,30,Electronics,2,280,560
AUG-20230111-ELE-1,2023-01-11,CUST-14324,Female,28,Electronics,1,429,429
AUG-20230111-ELE-0,2023-01-11,CUST-37446,Male,27,Electronics,1,538,538
AUG-20230111-BEA-3,2023-01-11,CUST-13812,Female,34,Beauty,2,90,180
AUG-20230111-BEA-2,2023-01-11,CUST-72981,Female,24,Beauty,3,70,210
AUG-20230111-BEA-1,2023-01-11,CUST-36069,Female,28,Beauty,2,140,280
AUG-20230111-BEA-0,2023-01-11,CUST-83794,Female,19,Beauty,5,54,270
AUG-20230112-CLO-3,2023-01-12,CUST-90910,Male,18,Clothing,3,89,267
AUG-20230112-CLO-2,2023-01-12,CUST-64917,Female,33,Clothing,3,85,255
AUG-20230112-CLO-1,2023-01-12,CUST-77728,Female,36,Clothing,3,192,576
AUG-20230112-CLO-0,2023-01-12,CUST-82101,Male,27,Clothing,2,336,672
AUG-20230112-ELE-3,2023-01-12,CUST-24060,Female,36,Electronics,2,766,1532
AUG-20230112-ELE-2,2023-01-12,CUST-29282,Male,27,Electronics,2,906,1812
AUG-20230112-BEA-1,2023-01-12,CUST-12219,Female,22,Beauty,2,33,66
AUG-20230112-ELE-0,2023-01-12,CUST-83698,Female,36,Electronics,1,1335,1335
AUG-20230112-BEA-3,2023-01-12,CUST-93524,Female,28,Beauty,3,120,360
AUG-20230112-BEA-2,2023-01-12,CUST-89767,Male,24,Beauty,5,103,515
AUG-20230112-BEA-0,2023-01-12,CUST-30128,Female,27,Beauty,4,106,424
AUG-20230112-ELE-1,2023-01-12,CUST-97388,Male,30,Electronics,2,1086,2172
AUG-20230113-ELE-3,2023-01-13,CUST-54327,Male,40,Electronics,1,1182,1182
AUG-20230113-CLO-3,2023-01-13,CUST-77526,Female,29,Clothing,3,293,879
AUG-20230113-CLO-2,2023-01-13,CUST-46368,Male,33,Clothing,2,258,516
AUG-20230113-CLO-1,2023-01-13,CUST-50738,Male,22,Clothing,1,167,167
AUG-20230113-CLO-0,2023-01-13,CUST-85060,Female,21,Clothing,3,196,588
AUG-20230113-ELE-4,2023-01-13,CUST-11645,Female,36,Electronics,1,996,996
AUG-20230113-ELE-2,2023-01-13,CUST-70279,Female,50,Electronics,2,1221,2442
AUG-20230113-BEA-0,2023-01-13,CUST-76656,Female,31,Beauty,4,182,728
AUG-20230113-ELE-0,2023-01-13,CUST-65318,Female,45,Electronics,2,736,1472
AUG-20230113-BEA-4,2023-01-13,CUST-81315,Female,33,Beauty,2,72,144
AUG-20230113-BEA-3,2023-01-13,CUST-24382,Female,26,Beauty,5,161,805
AUG-20230113-BEA-2,2023-01-13,CUST-81895,Female,35,Beauty,5,186,930
AUG-20230113-BEA-1,2023-01-13,CUST-29029,Female,27,Beauty,3,60,180
AUG-20230113-ELE-1,2023-01-13,CUST-37306,Male,33,Electronics,1,1157,1157
AUG-20230114-CLO-3,2023-01-14,CUST-41821,Female,29,Clothing,2,361,722
AUG-20230114-CLO-2,2023-01-14,CUST-95230,Female,36,Clothing,1,397,397
AUG-20230114-CLO-1,2023-01-14,CUST-40678,Male,34,Clothing,1,384,384
AUG-20230114-CLO-0,2023-01-14,CUST-91974,Male,26,Clothing,2,226,452
AUG-20230114-ELE-2,2023-01-14,CUST-88623,Male,29,Electronics,1,281,281
AUG-20230114-ELE-0,2023-01-14,CUST-58302,Male,49,Electronics,2,1062,2124
AUG-20230114-BEA-3,2023-01-14,CUST-69676,Male,27,Beauty,3,96,288
AUG-20230114-BEA-2,2023-01-14,CUST-12482,Female,20,Beauty,1,182,182
AUG-20230114-BEA-1,2023-01-14,CUST-62853,Female,23,Beauty,1,121,121
AUG-20230114-BEA-0,2023-01-14,CUST-26241,Male,32,Beauty,3,190,570
AUG-20230114-ELE-1,2023-01-14,CUST-21485,Male,24,Electronics,2,1280,2560
AUG-20230115-CLO-3,2023-01-15,CUST-96145,Female,38,Clothing,1,258,258
AUG-20230115-CLO-2,2023-01-15,CUST-69052,Male,38,Clothing,1,379,379
AUG-20230115-CLO-1,2023-01-15,CUST-88411,Female,35,Clothing,2,70,140
AUG-20230115-CLO-0,2023-01-15,CUST-48243,Female,35,Clothing,2,210,420
AUG-20230115-ELE-1,2023-01-15,CUST-70774,Male,47,Electronics,1,820,820
AUG-20230115-ELE-2,2023-01-15,CUST-65961,Male,18,Electronics,2,1567,3134
AUG-20230115-BEA-3,2023-01-15,CUST-27771,Female,23,Beauty,5,141,705
AUG-20230115-BEA-2,2023-01-15,CUST-24596,Female,35,Beauty,2,157,314
AUG-20230115-BEA-1,2023-01-15,CUST-97955,Female,18,Beauty,2,173,346
AUG-20230115-BEA-0,2023-01-15,CUST-96925,Female,31,Beauty,4,205,820
AUG-20230115-ELE-0,2023-01-15,CUST-96143,Female,40,Electronics,2,285,570
AUG-20230116-CLO-4,2023-01-16,CUST-12983,Male,26,Clothing,1,150,150
AUG-20230116-CLO-3,2023-01-16,CUST-84910,Male,37,Clothing,3,147,441
AUG-20230116-CLO-2,2023-01-16,CUST-90559,Male,30,Clothing,1,55,55
AUG-20230116-CLO-1,2023-01-16,CUST-92310,Female,31,Clothing,3,332,996
AUG-20230116-CLO-0,2023-01-16,CUST-65761,Female,35,Clothing,3,254,762
AUG-20230116-ELE-2,2023-01-16,CUST-10338,Male,36,Electronics,1,211,211
AUG-20230116-ELE-0,2023-01-16,CUST-38145,Male,37,Electronics,1,1229,1229
AUG-20230116-BEA-3,2023-01-16,CUST-25048,Male,26,Beauty,1,182,182
AUG-20230116-BEA-2,2023-01-16,CUST-55420,Female,18,Beauty,4,109,436
AUG-20230116-BEA-1,2023-01-16,CUST-38769,Female,23,Beauty,3,68,204
AUG-20230116-BEA-0,2023-01-16,CUST-99599,Female,27,Beauty,2,57,114
AUG-20230116-ELE-1,2023-01-16,CUST-61474,Female,43,Electronics,2,302,604
AUG-20230117-ELE-4,2023-01-17,CUST-90435,Female,33,Electronics,2,416,832
AUG-20230117-CLO-4,2023-01-17,CUST-70504,Female,25,Clothing,1,171,171
AUG-20230117-CLO-2,2023-01-17,CUST-56600,Male,25,Clothing,1,105,105
AUG-20230117-CLO-1,2023-01-17,CUST-24199,Female,25,Clothing,2,297,594
AUG-20230117-CLO-0,2023-01-17,CUST-74754,Male,34,Clothing,1,110,110
AUG-20230117-ELE-3,2023-01-17,CUST-47573,Male,36,Electronics,1,256,256
AUG-20230117-CLO-3,2023-01-17,CUST-38831,Female,37,Clothing,2,189,378
AUG-20230117-ELE-1,2023-01-17,CUST-65619,Male,27,Electronics,2,567,1134
AUG-20230117-ELE-0,2023-01-17,CUST-95680,Male,30,Electronics,2,596,1192
AUG-20230117-BEA-3,2023-01-17,CUST-22984,Male,21,Beauty,1,90,90
AUG-20230117-BEA-2,2023-01-17,CUST-26371,Female,24,Beauty,3,156,468
AUG-20230117-BEA-1,2023-01-17,CUST-84038,Female,24,Beauty,5,203,1015
AUG-20230117-BEA-0,2023-01-17,CUST-17564,Female,26,Beauty,1,33,33
AUG-20230117-ELE-2,2023-01-17,CUST-99431,Female,20,Electronics,1,765,765
AUG-20230118-CLO-2,2023-01-18,CUST-43062,Female,28,Clothing,2,313,626
AUG-20230118-CLO-1,2023-01-18,CUST-46509,Female,35,Clothing,2,206,412
AUG-20230118-CLO-0,2023-01-18,CUST-58874,Male,27,Clothing,3,232,696
AUG-20230118-ELE-3,2023-01-18,CUST-36292,Male,30,Electronics,1,553,553
AUG-20230118-ELE-2,2023-01-18,CUST-29623,Female,25,Electronics,2,1486,2972
AUG-20230118-CLO-3,2023-01-18,CUST-82545,Male,27,Clothing,1,64,64
AUG-20230118-ELE-0,2023-01-18,CUST-96988,Male,32,Electronics,1,1199,1199
AUG-20230118-BEA-2,2023-01-18,CUST-13972,Female,22,Beauty,4,66,264
AUG-20230118-BEA-1,2023-01-18,CUST-56542,Male,32,Beauty,2,102,204
AUG-20230118-BEA-0,2023-01-18,CUST-75160,Female,26,Beauty,3,148,444
AUG-20230118-ELE-1,2023-01-18,CUST-11591,Female,18,Electronics,1,320,320
AUG-20230119-CLO-3,2023-01-19,CUST-48158,Male,21,Clothing,1,326,326
AUG-20230119-CLO-2,2023-01-19,CUST-58290,Male,22,Clothing,2,64,128
AUG-20230119-CLO-1,2023-01-19,CUST-73416,Female,26,Clothing,1,132,132
AUG-20230119-CLO-0,2023-01-19,CUST-43756,Female,26,Clothing,3,396,1188
AUG-20230119-ELE-2,2023-01-19,CUST-16540,Female,20,Electronics,1,711,711
AUG-20230119-ELE-3,2023-01-19,CUST-27482,Female,29,Electronics,1,1107,1107
AUG-20230119-ELE-0,2023-01-19,CUST-37083,Male,27,Electronics,1,1458,1458
AUG-20230119-BEA-2,2023-01-19,CUST-73888,Female,19,Beauty,4,46,184
AUG-20230119-BEA-1,2023-01-19,CUST-93807,Female,33,Beauty,5,52,260
AUG-20230119-BEA-0,2023-01-19,CUST-97272,Female,24,Beauty,3,181,543
AUG-20230119-ELE-1,2023-01-19,CUST-37082,Male,45,Electronics,1,1242,1242
AUG-20230120-ELE-3,2023-01-20,CUST-60069,Male,25,Electronics,1,768,768
AUG-20230120-CLO-4,2023-01-20,CUST-43662,Female,32,Clothing,2,369,738
AUG-20230120-CLO-3,2023-01-20,CUST-36630,Female,29,Clothing,2,163,326
AUG-20230120-CLO-2,2023-01-20,CUST-74881,Female,27,Clothing,1,272,272
AUG-20230120-CLO-1,2023-01-20,CUST-11925,Female,29,Clothing,3,370,1110
AUG-20230120-CLO-0,2023-01-20,CUST-91905,Male,29,Clothing,3,140,420
AUG-20230120-ELE-2,2023-01-20,CUST-45488,Male,37,Electronics,2,1286,2572
AUG-20230120-BEA-1,2023-01-20,CUST-15655,Female,25,Beauty,3,119,357
AUG-20230120-ELE-0,2023-01-20,CUST-31804,Male,31,Electronics,1,360,360
AUG-20230120-BEA-4,2023-01-20,CUST-36589,Female,28,Beauty,1,100,100
AUG-20230120-BEA-3,2023-01-20,CUST-59268,Female,29,Beauty,1,92,92
AUG-20230120-BEA-2,2023-01-20,CUST-61027,Female,33,Beauty,1,46,46
AUG-20230120-ELE-1,2023-01-20,CUST-62269,Female,38,Electronics,1,585,585
AUG-20230120-BEA-0,2023-01-20,CUST-95553,Female,28,Beauty,5,37,185
AUG-20230121-CLO-3,2023-01-21,CUST-71272,Female,27,Clothing,2,296,592
AUG-20230121-CLO-2,2023-01-21,CUST-80135,Female,30,Clothing,1,95,95
AUG-20230121-CLO-0,2023-01-21,CUST-67056,Female,21,Clothing,2,98,196
AUG-20230121-ELE-2,2023-01-21,CUST-86707,Male,43,Electronics,2,844,1688
AUG-20230121-ELE-1,2023-01-21,CUST-82099,Female,32,Electronics,2,1243,2486
AUG-20230121-CLO-1,2023-01-21,CUST-76061,Male,19,Clothing,2,148,296
AUG-20230121-BEA-4,2023-01-21,CUST-82541,Female,24,Beauty,1,176,176
AUG-20230121-BEA-3,2023-01-21,CUST-89561,Male,32,Beauty,1,95,95
AUG-20230121-BEA-2,2023-01-21,CUST-26082,Female,26,Beauty,3,79,237
AUG-20230121-BEA-1,2023-01-21,CUST-62579,Female,20,Beauty,2,195,390
AUG-20230121-BEA-0,2023-01-21,CUST-11560,Male,25,Beauty,2,43,86
AUG-20230121-ELE-0,2023-01-21,CUST-88339,Female,22,Electronics,1,239,239
AUG-20230122-CLO-2,2023-01-22,CUST-89141,Female,29,Clothing,3,242,726
AUG-20230122-CLO-1,2023-01-22,CUST-11239,Male,25,Clothing,2,361,722
AUG-20230122-CLO-0,2023-01-22,CUST-74178,Female,25,Clothing,3,394,1182
AUG-20230122-ELE-2,2023-01-22,CUST-10281,Female,33,Electronics,1,754,754
AUG-20230122-ELE-0,2023-01-22,CUST-19847,Male,22,Electronics,1,1538,1538
AUG-20230122-BEA-2,2023-01-22,CUST-81635,Female,30,Beauty,1,91,91
AUG-20230122-BEA-1,2023-01-22,CUST-29816,Male,34,Beauty,2,130,260
AUG-20230122-BEA-0,2023-01-22,CUST-62233,Female,35,Beauty,4,78,312
AUG-20230122-ELE-1,2023-01-22,CUST-30337,Female,39,Electronics,2,1554,3108
AUG-20230123-ELE-2,2023-01-23,CUST-83297,Female,30,Electronics,2,222,444
AUG-20230123-CLO-2,2023-01-23,CUST-73449,Male,19,Clothing,1,334,334
AUG-20230123-CLO-1,2023-01-23,CUST-93360,Male,21,Clothing,1,366,366
AUG-20230123-CLO-0,2023-01-23,CUST-61924,Female,34,Clothing,3,377,1131
AUG-20230123-ELE-1,2023-01-23,CUST-95150,Female,28,Electronics,1,764,764
AUG-20230123-BEA-1,2023-01-23,CUST-58320,Female,25,Beauty,5,123,615
AUG-20230123-BEA-4,2023-01-23,CUST-29508,Female,29,Beauty,3,60,180
AUG-20230123-BEA-3,2023-01-23,CUST-40659,Female,28,Beauty,3,102,306
AUG-20230123-BEA-2,2023-01-23,CUST-91040,Female,24,Beauty,2,186,372
AUG-20230123-BEA-0,2023-01-23,CUST-53753,Male,29,Beauty,5,81,405
AUG-20230123-ELE-0,2023-01-23,CUST-83384,Male,25,Electronics,2,796,1592
AUG-20230124-CLO-4,2023-01-24,CUST-27014,Male,22,Clothing,1,160,160
AUG-20230124-CLO-3,2023-01-24,CUST-91571,Female,27,Clothing,3,255,765
AUG-20230124-CLO-2,2023-01-24,CUST-65826,Male,33,Clothing,1,200,200
AUG-20230124-CLO-1,2023-01-24,CUST-91929,Female,18,Clothing,1,73,73
AUG-20230124-CLO-0,2023-01-24,CUST-33669,Female,31,Clothing,3,191,573
AUG-20230124-ELE-4,2023-01-24,CUST-22149,Female,35,Electronics,1,509,509
AUG-20230124-ELE-3,2023-01-24,CUST-28743,Male,25,Electronics,1,362,362
AUG-20230124-ELE-1,2023-01-24,CUST-64691,Male,35,Electronics,2,951,1902
AUG-20230124-ELE-0,2023-01-24,CUST-56881,Male,30,Electronics,1,336,336
AUG-20230124-BEA-4,2023-01-24,CUST-18906,Female,31,Beauty,5,157,785
AUG-20230124-BEA-3,2023-01-24,CUST-68348,Female,18,Beauty,2,140,280
AUG-20230124-BEA-2,2023-01-24,CUST-36966,Female,34,Beauty,4,43,172
AUG-20230124-BEA-1,2023-01-24,CUST-14760,Female,34,Beauty,4,148,592
AUG-20230124-BEA-0,2023-01-24,CUST-16471,Female,32,Beauty,1,32,32
AUG-20230124-ELE-2,2023-01-24,CUST-96365,Female,48,Electronics,2,783,1566
AUG-20230125-CLO-0,2023-01-25,CUST-83794,Male,21,Clothing,1,320,320
AUG-20230125-CLO-2,2023-01-25,CUST-10661,Male,21,Clothing,3,331,993
AUG-20230125-CLO-1,2023-01-25,CUST-29201,Female,21,Clothing,2,184,368
AUG-20230125-ELE-2,2023-01-25,CUST-80587,Male,27,Electronics,2,775,1550
AUG-20230125-ELE-0,2023-01-25,CUST-64253,Female,34,Electronics,2,480,960
AUG-20230125-ELE-1,2023-01-25,CUST-26456,Male,28,Electronics,1,555,555
AUG-20230125-BEA-2,2023-01-25,CUST-41910,Female,20,Beauty,3,70,210
AUG-20230125-BEA-1,2023-01-25,CUST-14358,Female,24,Beauty,5,187,935
AUG-20230125-BEA-0,2023-01-25,CUST-50390,Male,25,Beauty,5,169,845
AUG-20230126-CLO-2,2023-01-26,CUST-41552,Female,36,Clothing,1,214,214
AUG-20230126-CLO-1,2023-01-26,CUST-84520,Male,22,Clothing,2,312,624
AUG-20230126-CLO-0,2023-01-26,CUST-34226,Female,18,Clothing,3,61,183
AUG-20230126-ELE-4,2023-01-26,CUST-73133,Male,38,Electronics,1,1412,1412
AUG-20230126-ELE-3,2023-01-26,CUST-71929,Female,35,Electronics,1,543,543
AUG-20230126-ELE-2,2023-01-26,CUST-93362,Female,19,Electronics,2,1450,2900
AUG-20230126-CLO-3,2023-01-26,CUST-27347,Female,25,Clothing,3,74,222
AUG-20230126-BEA-3,2023-01-26,CUST-66273,Female,25,Beauty,5,113,565
AUG-20230126-BEA-2,2023-01-26,CUST-28752,Female,21,Beauty,5,135,675
AUG-20230126-BEA-1,2023-01-26,CUST-30103,Female,22,Beauty,4,171,684
AUG-20230126-BEA-0,2023-01-26,CUST-98733,Female,29,Beauty,1,84,84
AUG-20230126-ELE-1,2023-01-26,CUST-45585,Male,49,Electronics,2,940,1880
AUG-20230126-ELE-0,2023-01-26,CUST-26163,Female,33,Electronics,2,912,1824
AUG-20230127-ELE-4,2023-01-27,CUST-19956,Male,28,Electronics,2,1204,2408
AUG-20230127-CLO-2,2023-01-27,CUST-57076,Male,37,Clothing,2,257,514
AUG-20230127-ELE-3,2023-01-27,CUST-67022,Female,36,Electronics,2,1308,2616
AUG-20230127-CLO-1,2023-01-27,CUST-70428,Male,31,Clothing,3,356,1068
AUG-20230127-ELE-2,2023-01-27,CUST-22411,Male,23,Electronics,1,999,999
AUG-20230127-CLO-0,2023-01-27,CUST-99818,Female,21,Clothing,2,230,460
AUG-20230127-ELE-0,2023-01-27,CUST-71588,Female,21,Electronics,1,276,276
AUG-20230127-BEA-2,2023-01-27,CUST-65677,Female,24,Beauty,5,190,950
